sourceAccount,destAccount,amount,result,type,time
0000000002,0000000001,200.00,1,4,2023-10-12 05:46:42
0000000002,0000000002,1.00,1,2,2023-10-12 06:34:04
0000000002,0000000002,15665.15,1,2,2023-10-12 06:38:06
0000000002,0000000002,777.50,1,2,2023-10-12 06:44:03
0000000002,0000000002,15515.44,1,2,2023-10-12 06:44:19
0000000002,0000000002,15156.15,1,2,2023-10-12 06:44:27
0000000002,0000000002,1515.00,1,2,2023-10-12 06:44:33
0000000002,0000000002,1000000.24,1,2,2023-10-12 06:45:33
0000000002,0000000002,1111111.00,1,2,2023-10-12 06:45:41
0000000002,0000000002,1000000.00,1,3,2023-10-12 06:46:04
